heure,zone,catr,grav,lat,long
16,2,4,1,48.823425,2.310274
16,2,4,4,48.823425,2.310274
18,2,4,4,48.842298,2.360222
07,1,1,1,44.930182,-0.469483
07,1,1,4,44.930182,-0.469483
17,2,4,4,48.864959,2.397273
08,1,1,1,44.789903,-0.606388
08,1,1,4,44.789903,-0.606388
16,2,4,4,48.861366,2.409372
13,2,4,1,48.900161,2.388562
13,2,4,4,48.900161,2.388562
08,1,1,1,48.70087,2.2468
08,1,1,2,48.70087,2.2468
06,2,4,1,48.895235,2.39417
06,2,4,4,48.895235,2.39417
08,1,2,1,48.78772156,2.22217275
08,1,2,4,48.78772156,2.22217275
05,1,2,1,49.05106981,2.42975401
05,1,2,3,49.05106981,2.42975401
22,2,4,1,48.89822,2.386015
22,2,4,4,48.89822,2.386015
06,1,1,4,48.96243185,2.26642636
20,2,4,1,48.889326,2.344674
20,2,4,4,48.889326,2.344674
20,1,1,1,48.82253799,2.39690691
20,1,1,4,48.82253799,2.39690691
18,2,4,4,48.889244,2.307439
14,1,1,4,48.78379001,2.44037032
08,2,4,1,48.869648,2.285054
08,2,4,4,48.869648,2.285054
18,2,4,4,48.835596,2.361714
04,1,2,1,-20.95051,55.3194
04,1,2,2,-20.95051,55.3194
08,2,4,1,48.818027,2.360365
08,2,4,4,48.818027,2.360365
21,2,4,1,-20.94929,55.28525
21,2,4,4,-20.94929,55.28525
16,2,4,1,48.87553,2.356719
16,2,4,4,48.87553,2.356719
21,2,4,1,4.94235617,-52.32241184
21,2,4,4,4.94235617,-52.32241184
09,2,4,1,48.854107,2.306396
09,2,4,3,48.854107,2.306396
19,2,4,1,48.863749,2.354878
19,2,4,4,48.863749,2.354878
20,2,4,1,45.74889,4.86813
20,2,4,4,45.74889,4.86813
19,2,4,4,45.74080744,4.86809596
09,2,4,1,48.869541,2.336783
09,2,4,4,48.869541,2.336783
08,2,2,1,14.60635,-61.066
08,2,2,4,14.60635,-61.066
16,2,3,1,48.78805,2.420733
16,2,3,4,48.78805,2.420733
07,2,9,3,45.7501,4.8274
15,2,4,1,48.78458,2.36632
15,2,4,4,48.78458,2.36632
08,2,4,1,45.77444,4.81265
08,2,4,4,45.77444,4.81265
18,2,4,1,48.808224,2.371462
18,2,4,4,48.808224,2.371462
15,1,6,1,48.98781,2.38065
15,1,6,4,48.98781,2.38065
16,2,3,1,48.753983,2.312772
16,2,3,4,48.753983,2.312772
10,2,4,1,49.03091846,2.45953202
10,2,4,3,49.03091846,2.45953202
10,2,4,4,49.03091846,2.45953202
11,2,5,1,48.76449,2.352381
11,2,5,4,48.76449,2.352381
10,2,3,1,48.98068809,2.25074736
10,2,3,4,48.98068809,2.25074736
13,2,3,1,48.75902,2.32476
13,2,3,4,48.75902,2.32476
08,2,2,1,48.62451,2.29754
08,2,2,3,48.62451,2.29754
08,2,2,4,48.62451,2.29754
13,2,4,1,48.74855,2.40144
13,2,4,4,48.74855,2.40144
17,1,3,1,48.71472,2.33038
17,1,3,4,48.71472,2.33038
19,2,4,3,48.835007,2.547214
09,2,3,4,48.81495915,2.5067153
17,2,4,1,48.94170647,2.34823425
17,2,4,4,48.94170647,2.34823425
01,2,3,1,48.85892,2.5207
01,2,3,4,48.85892,2.5207
17,2,4,1,48.92816,2.54944
17,2,4,4,48.92816,2.54944
12,2,4,1,48.91383914,2.51563847
12,2,4,4,48.91383914,2.51563847
08,2,4,1,48.90623767,2.48029804
08,2,4,4,48.90623767,2.48029804
09,2,3,1,48.90974427,2.50647426
09,2,3,4,48.90974427,2.50647426
13,2,3,1,48.90667,2.44561
13,2,3,3,48.90667,2.44561
14,2,3,1,48.93337658,2.47726607
14,2,3,4,48.93337658,2.47726607
13,2,4,1,48.92525961,2.46302569
13,2,4,4,48.92525961,2.46302569
08,2,4,1,48.92915862,2.48936302
08,2,4,4,48.92915862,2.48936302
14,2,4,1,48.89952975,2.1950803
14,2,4,4,48.89952975,2.1950803
15,2,3,1,48.80388034,2.28835076
15,2,3,4,48.80388034,2.28835076
02,2,3,4,48.78953389,2.25255176
09,2,3,1,48.84453981,2.23744377
09,2,3,4,48.84453981,2.23744377
07,1,3,1,46.666623,5.923735
07,1,3,4,46.666623,5.923735
11,1,3,1,45.937712,4.869695
11,1,3,3,45.937712,4.869695
16,2,4,3,43.737034,7.288651
11,2,3,1,47.339546,2.848324
11,2,3,3,47.339546,2.848324
07,1,1,1,46.417424,4.863864
07,1,1,3,46.417424,4.863864
12,1,3,1,48.15329082,7.20782849
12,1,3,3,48.15329082,7.20782849
23,2,2,2,14.612239,-60.924597
04,1,3,3,45.94027642,2.96265979
23,1,3,3,44.004949,4.786117
23,1,3,4,44.004949,4.786117
17,1,2,4,41.87632,8.946991
11,1,3,1,45.531094,3.803372
11,1,3,3,45.531094,3.803372
11,1,3,4,45.531094,3.803372
11,2,3,1,44.011757,2.965922
11,2,3,4,44.011757,2.965922
12,2,3,3,44.26609874,0.24042537
15,1,3,4,46.723482,6.179297
07,1,3,1,47.400067,-1.037886
07,1,3,3,47.400067,-1.037886
07,1,3,3,43.737461,1.243697
07,1,3,4,43.737461,1.243697
17,1,3,1,45.447735,5.566077
17,1,3,3,45.447735,5.566077
15,2,3,1,44.689113,2.227274
15,2,3,4,44.689113,2.227274
01,2,3,1,46.262743,4.856942
01,2,3,3,46.262743,4.856942
18,1,3,4,49.303237,-0.437082
06,2,4,3,48.144367,4.779251
06,2,4,4,48.144367,4.779251
20,2,4,1,46.939737,2.001081
20,2,4,4,46.939737,2.001081
07,1,3,1,44.661499,4.706368
07,1,3,3,44.661499,4.706368
16,1,3,1,48.170508,-0.403216
16,1,3,3,48.170508,-0.403216
14,2,4,1,49.354584,0.517876
14,2,4,4,49.354584,0.517876
08,1,3,3,48.860222,1.066162
17,1,3,3,48.300039,1.63619
17,1,3,4,48.300039,1.63619
06,1,3,2,43.69439,4.20271
06,1,3,3,43.69439,4.20271
06,1,3,4,43.69439,4.20271
17,1,3,4,49.81637933,4.66788054
21,1,3,1,43.607628,6.985593
21,1,3,3,43.607628,6.985593
17,1,1,3,47.700318,3.810255
17,1,1,4,47.700318,3.810255
08,1,1,1,45.56284195,5.37125692
08,1,1,4,45.56284195,5.37125692
17,2,3,1,48.968861,2.757745
17,2,3,4,48.968861,2.757745
08,2,3,1,48.505296,2.79145
08,2,3,3,48.505296,2.79145
18,1,3,3,49.07127906,1.96532127
18,1,7,1,43.668054,3.975763
18,1,7,3,43.668054,3.975763
17,1,3,1,43.185794,5.818774
17,1,3,3,43.185794,5.818774
23,1,3,3,43.785324,4.929439
20,1,3,2,47.469586,5.787883
16,1,4,1,45.536641,5.450206
16,1,4,3,45.536641,5.450206
19,2,4,1,47.689545,6.644791
19,2,4,4,47.689545,6.644791
